,Input Sentence,Tokenizer,POS,Great Filter,POW,ACH,AFF,Unnamed
565,"They are serious women with a serious task ahead of them.
","['They', 'are', 'serious', 'women', 'with', 'a', 'serious', 'task', 'ahead', 'of', 'them', '.']","['PRP', 'VBP', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'RB', 'IN', 'PRP', '.']",Pass,no,no,no,
566,"Their country's population is starving and along with the conditions of hunger of course comes disease, plague.
","['Their', 'country', ""'s"", 'population', 'is', 'starving', 'and', 'along', 'with', 'the', 'conditions', 'of', 'hunger', 'of', 'course', 'comes', 'disease', ',', 'plague', '.']","['PRP$', 'NN', 'POS', 'NN', 'VBZ', 'VBG', 'CC', 'IN', 'IN', 'DT', 'NNS', 'IN', 'NN', 'IN', 'NN', 'VBZ', 'NN', ',', 'NN', '.']",Removed,no,no,no,
567,"They are working in some way to stem the disease's epidemic proportions, or are checking a patient's blood to see if disease has begun or are developing a vaccine to inoculate the population with.
","['They', 'are', 'working', 'in', 'some', 'way', 'to', 'stem', 'the', 'disease', ""'s"", 'epidemic', 'proportions', ',', 'or', 'are', 'checking', 'a', 'patient', ""'s"", 'blood', 'to', 'see', 'if', 'disease', 'has', 'begun', 'or', 'are', 'developing', 'a', 'vaccine', 'to', 'inoculate', 'the', 'population', 'with', '.']","['PRP', 'VBP', 'VBG', 'IN', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'POS', 'JJ', 'NNS', ',', 'CC', 'VBP', 'VBG', 'DT', 'NN', 'POS', 'NN', 'TO', 'VB', 'IN', 'NN', 'VBZ', 'VBN', 'CC', 'VBP', 'VBG', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'IN', '.']",Pass,no,yes,no,
568,"Two of the leading women scientists in the nation have been working on developing test-tube babies for the past 20 years.
","['Two', 'of', 'the', 'leading', 'women', 'scientists', 'in', 'the', 'nation', 'have', 'been', 'working', 'on', 'developing', 'test-tube', 'babies', 'for', 'the', 'past', '20', 'years', '.']","['CD', 'IN', 'DT', 'VBG', 'NNS', 'NNS', 'IN', 'DT', 'NN', 'VBP', 'VBN', 'VBG', 'IN', 'VBG', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'CD', 'NNS', '.']",Pass,no,yes,no,
569,"However, this particular experiment is the most important one.
","['However', ',', 'this', 'particular', 'experiment', 'is', 'the', 'most', 'important', 'one', '.']","['RB', ',', 'DT', 'JJ', 'NN', 'VBZ', 'DT', 'RBS', 'JJ', 'CD', '.']",Pass,no,no,no,
570,"If the egg becomes fertilized and begins to grow--those 20 years will have been worth it.
","['If', 'the', 'egg', 'becomes', 'fertilized', 'and', 'begins', 'to', 'grow', '--', 'those', '20', 'years', 'will', 'have', 'been', 'worth', 'it', '.']","['IN', 'DT', 'NN', 'VBZ', 'VBN', 'CC', 'VBZ', 'TO', 'VB', ':', 'DT', 'CD', 'NNS', 'MD', 'VB', 'VBN', 'JJ', 'PRP', '.']",Pass,no,no,no,
571,"If nothing happens, 20 years will have been practically wasted.
","['If', 'nothing', 'happens', ',', '20', 'years', 'will', 'have', 'been', 'practically', 'wasted', '.']","['IN', 'NN', 'VBZ', ',', 'CD', 'NNS', 'MD', 'VB', 'VBN', 'RB', 'VBN', '.']",Removed,no,no,no,
572,"Everything hinges on this fraction of a second ....
","['Everything', 'hinges', 'on', 'this', 'fraction', 'of', 'a', 'second', '...', '.']","['NN', 'NNS', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', ':', '.']",Pass,no,no,no,
573,"The two scientists pictured here are having a heated argument about the experiments which the one of the left is performing.
","['The', 'two', 'scientists', 'pictured', 'here', 'are', 'having', 'a', 'heated', 'argument', 'about', 'the', 'experiments', 'which', 'the', 'one', 'of', 'the', 'left', 'is', 'performing', '.']","['DT', 'CD', 'NNS', 'VBD', 'RB', 'VBP', 'VBG', 'DT', 'VBN', 'NN', 'IN', 'DT', 'NNS', 'WDT', 'DT', 'CD', 'IN', 'DT', 'NN', 'VBZ', 'VBG', '.']",Pass,yes,no,no,
574,"She plans to inject human subjects with a serum that will make them lose their intelligence, their ability to think.
","['She', 'plans', 'to', 'inject', 'human', 'subjects', 'with', 'a', 'serum', 'that', 'will', 'make', 'them', 'lose', 'their', 'intelligence', ',', 'their', 'ability', 'to', 'think', '.']","['PRP', 'VBZ', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'WDT', 'MD', 'VB', 'PRP', 'VB', 'PRP$', 'NN', ',', 'PRP$', 'NN', 'TO', 'VB', '.']",Pass,yes,no,no,
575,"The scientist on the right is arguing that this is cruel and inhumane and she won't stand by and watch this take place.
","['The', 'scientist', 'on', 'the', 'right', 'is', 'arguing', 'that', 'this', 'is', 'cruel', 'and', 'inhumane', 'and', 'she', 'wo', ""n't"", 'stand', 'by', 'and', 'watch', 'this', 'take', 'place', '.']","['DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBG', 'IN', 'DT', 'VBZ', 'JJ', 'CC', 'NN', 'CC', 'PRP', 'MD', 'RB', 'VB', 'IN', 'CC', 'VB', 'DT', 'JJ', 'NN', '.']",Pass,yes,no,no,
576,"The two have a fight and in the process the one on the right injects the serum into the other scientist.
","['The', 'two', 'have', 'a', 'fight', 'and', 'in', 'the', 'process', 'the', 'one', 'on', 'the', 'right', 'injects', 'the', 'serum', 'into', 'the', 'other', 'scientist', '.']","['DT', 'CD', 'VBP', 'DT', 'NN', 'CC', 'IN', 'DT', 'NN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",Pass,yes,no,no,
577,"It apparently is an effective serum as the scientist does lose all ability for rational thought and stabs and kills her adversary with a broken test tube.
","['It', 'apparently', 'is', 'an', 'effective', 'serum', 'as', 'the', 'scientist', 'does', 'lose', 'all', 'ability', 'for', 'rational', 'thought', 'and', 'stabs', 'and', 'kills', 'her', 'adversary', 'with', 'a', 'broken', 'test', 'tube', '.']","['PRP', 'RB', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', 'CC', 'NN', 'CC', 'VBZ', 'PRP$', 'JJ', 'IN', 'DT', 'JJ', 'NN', 'NN', '.']",Pass,yes,no,no,
578,"Mme.
","['Mme', '.']","['NNP', '.']",Removed,no,no,no,
579,"C. came rushing in--she had had some unusual results from the experiment and before making any conclusions she wanted to repeat it to make sure that it wasn't due to an error in laboratory procedures.
","['C.', 'came', 'rushing', 'in', '--', 'she', 'had', 'had', 'some', 'unusual', 'results', 'from', 'the', 'experiment', 'and', 'before', 'making', 'any', 'conclusions', 'she', 'wanted', 'to', 'repeat', 'it', 'to', 'make', 'sure', 'that', 'it', 'was', ""n't"", 'due', 'to', 'an', 'error', 'in', 'laboratory', 'procedures', '.']","['NNP', 'VBD', 'VBG', 'IN', ':', 'PRP', 'VBD', 'VBN', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'CC', 'IN', 'VBG', 'DT', 'NNS', 'PRP', 'VBD', 'TO', 'VB', 'PRP', 'TO', 'VB', 'JJ', 'IN', 'PRP', 'VBD', 'RB', 'JJ', 'TO', 'DT', 'NN', 'IN', 'NN', 'NNS', '.']",Pass,no,no,no,
580,"She asked me to come to her lab and preform the experiment while she instructed me--it was a simple short one to perform and if her results had been valid they should occur when I did the same thing.
","['She', 'asked', 'me', 'to', 'come', 'to', 'her', 'lab', 'and', 'preform', 'the', 'experiment', 'while', 'she', 'instructed', 'me', '--', 'it', 'was', 'a', 'simple', 'short', 'one', 'to', 'perform', 'and', 'if', 'her', 'results', 'had', 'been', 'valid', 'they', 'should', 'occur', 'when', 'I', 'did', 'the', 'same', 'thing', '.']","['PRP', 'VBD', 'PRP', 'TO', 'VB', 'TO', 'PRP$', 'NN', 'CC', 'VB', 'DT', 'NN', 'IN', 'PRP', 'VBD', 'PRP', ':', 'PRP', 'VBD', 'DT', 'JJ', 'JJ', 'CD', 'TO', 'VB', 'CC', 'IN', 'PRP$', 'NNS', 'VBD', 'VBN', 'JJ', 'PRP', 'MD', 'VB', 'WRB', 'PRP', 'VBD', 'DT', 'JJ', 'NN', '.']",Pass,no,no,no,
581,"I submitted, eager to see what could have made Mme.
","['I', 'submitted', ',', 'eager', 'to', 'see', 'what', 'could', 'have', 'made', 'Mme', '.']","['PRP', 'VBD', ',', 'JJ', 'TO', 'VB', 'WP', 'MD', 'VB', 'VBN', 'NNP', '.']",Removed,no,no,no,
582,"C feel such a sense of urgency about following up immediately on a rather commonplace experiment.
","['C', 'feel', 'such', 'a', 'sense', 'of', 'urgency', 'about', 'following', 'up', 'immediately', 'on', 'a', 'rather', 'commonplace', 'experiment', '.']","['NNP', 'NN', 'JJ', 'DT', 'NN', 'IN', 'NN', 'IN', 'VBG', 'RP', 'RB', 'IN', 'DT', 'RB', 'NN', 'NN', '.']",Pass,no,no,no,
583,"She stood by tense, dictating the materials and steps and I followed her commands.
","['She', 'stood', 'by', 'tense', ',', 'dictating', 'the', 'materials', 'and', 'steps', 'and', 'I', 'followed', 'her', 'commands', '.']","['PRP', 'VBD', 'IN', 'NN', ',', 'VBG', 'DT', 'NNS', 'CC', 'NNS', 'CC', 'PRP', 'VBD', 'PRP', 'NNS', '.']",Removed,no,no,no,
584,"A student chemist is performing an experiment over the watchful eye of her teacher.
","['A', 'student', 'chemist', 'is', 'performing', 'an', 'experiment', 'over', 'the', 'watchful', 'eye', 'of', 'her', 'teacher', '.']","['DT', 'NN', 'NN', 'VBZ', 'VBG', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
585,"She's not the best student, she's made a few mistakes already.
","['She', ""'s"", 'not', 'the', 'best', 'student', ',', 'she', ""'s"", 'made', 'a', 'few', 'mistakes', 'already', '.']","['PRP', 'VBZ', 'RB', 'DT', 'JJS', 'NN', ',', 'PRP', 'VBZ', 'VBN', 'DT', 'JJ', 'NNS', 'RB', '.']",Pass,no,no,no,
586,"But now she's on her way to completing the experiment satisfactorily.
","['But', 'now', 'she', ""'s"", 'on', 'her', 'way', 'to', 'completing', 'the', 'experiment', 'satisfactorily', '.']","['CC', 'RB', 'PRP', 'VBZ', 'IN', 'PRP$', 'NN', 'TO', 'VBG', 'DT', 'JJ', 'RB', '.']",Pass,no,no,no,
587,"The teacher isn't married and is a bit jealous of the younger student who is.
","['The', 'teacher', 'is', ""n't"", 'married', 'and', 'is', 'a', 'bit', 'jealous', 'of', 'the', 'younger', 'student', 'who', 'is', '.']","['DT', 'NN', 'VBZ', 'RB', 'JJ', 'CC', 'VBZ', 'DT', 'RB', 'JJ', 'IN', 'DT', 'JJR', 'NN', 'WP', 'VBZ', '.']",Pass,no,no,no,
588,"This envy shows itself in the extremely picky way in which the teacher is guiding her pupil.
","['This', 'envy', 'shows', 'itself', 'in', 'the', 'extremely', 'picky', 'way', 'in', 'which', 'the', 'teacher', 'is', 'guiding', 'her', 'pupil', '.']","['DT', 'NN', 'VBZ', 'PRP', 'IN', 'DT', 'RB', 'JJ', 'NN', 'IN', 'WDT', 'DT', 'NN', 'VBZ', 'VBG', 'PRP$', 'NN', '.']",Pass,yes,no,no,
589,"She might be a bit upset if the experiment comes our correctly.
","['She', 'might', 'be', 'a', 'bit', 'upset', 'if', 'the', 'experiment', 'comes', 'our', 'correctly', '.']","['PRP', 'MD', 'VB', 'DT', 'NN', 'JJ', 'IN', 'DT', 'NN', 'VBZ', 'PRP$', 'NN', '.']",Pass,no,no,no,
590,"The captain of a ship belonging to the gentleman in the picture is explaining why he hasn't met the owners expectations.
","['The', 'captain', 'of', 'a', 'ship', 'belonging', 'to', 'the', 'gentleman', 'in', 'the', 'picture', 'is', 'explaining', 'why', 'he', 'has', ""n't"", 'met', 'the', 'owners', 'expectations', '.']","['DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'TO', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBG', 'WRB', 'PRP', 'VBZ', 'RB', 'VBN', 'DT', 'NNS', 'NNS', '.']",Pass,no,no,no,
591,"The ship is a passenger cruise ship which has gotten a poor reputation for service to passengers.
","['The', 'ship', 'is', 'a', 'passenger', 'cruise', 'ship', 'which', 'has', 'gotten', 'a', 'poor', 'reputation', 'for', 'service', 'to', 'passengers', '.']","['DT', 'NN', 'VBZ', 'DT', 'NN', 'NN', 'NN', 'WDT', 'VBZ', 'VBN', 'DT', 'JJ', 'NN', 'IN', 'NN', 'TO', 'NNS', '.']",Pass,yes,no,no,
592,"The captain is explaining what he'll need from the owner in order to provide better service in the future.
","['The', 'captain', 'is', 'explaining', 'what', 'he', ""'ll"", 'need', 'from', 'the', 'owner', 'in', 'order', 'to', 'provide', 'better', 'service', 'in', 'the', 'future', '.']","['DT', 'NN', 'VBZ', 'VBG', 'WP', 'PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'IN', 'NN', 'TO', 'VB', 'JJR', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,yes,no,
593,"He needs more competent help, better quality of food and better support from office staff.
","['He', 'needs', 'more', 'competent', 'help', ',', 'better', 'quality', 'of', 'food', 'and', 'better', 'support', 'from', 'office', 'staff', '.']","['PRP', 'VBZ', 'RBR', 'NN', 'NN', ',', 'JJR', 'NN', 'IN', 'NN', 'CC', 'JJR', 'NN', 'IN', 'NN', 'NN', '.']",Removed,no,yes,no,
594,"This is the real Capt.
","['This', 'is', 'the', 'real', 'Capt', '.']","['DT', 'VBZ', 'DT', 'JJ', 'NNP', '.']",Pass,no,no,no,
595,"Queeg telling Humphrey Bogart how to roll ball bearings between his fingers.
","['Queeg', 'telling', 'Humphrey', 'Bogart', 'how', 'to', 'roll', 'ball', 'bearings', 'between', 'his', 'fingers', '.']","['NNP', 'VBG', 'NNP', 'NNP', 'WRB', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'PRP$', 'NNS', '.']",Removed,no,no,no,
596,"Humphrey is blocking his dexterity with the bearings because of the blatant sexual imagery.
","['Humphrey', 'is', 'blocking', 'his', 'dexterity', 'with', 'the', 'bearings', 'because', 'of', 'the', 'blatant', 'sexual', 'imagery', '.']","['NNP', 'VBZ', 'VBG', 'PRP$', 'NN', 'IN', 'DT', 'NNS', 'IN', 'IN', 'DT', 'JJ', 'JJ', 'NN', '.']",Pass,no,no,no,
597,"Queeg has just explained that a bearing is a bearing is a bearing.
","['Queeg', 'has', 'just', 'explained', 'that', 'a', 'bearing', 'is', 'a', 'bearing', 'is', 'a', 'bearing', '.']","['NNP', 'VBZ', 'RB', 'VBN', 'IN', 'DT', 'NN', 'VBZ', 'DT', 'NN', 'VBZ', 'DT', 'NN', '.']",Pass,no,no,no,
598,"The Captain is explaining to George that his luggage will be found.
","['The', 'Captain', 'is', 'explaining', 'to', 'George', 'that', 'his', 'luggage', 'will', 'be', 'found', '.']","['DT', 'NNP', 'VBZ', 'VBG', 'TO', 'NNP', 'IN', 'PRP$', 'NN', 'MD', 'VB', 'VBN', '.']",Removed,no,no,no,
599,"It is not unusual for passengers to get to their room before the luggage arrives.
","['It', 'is', 'not', 'unusual', 'for', 'passengers', 'to', 'get', 'to', 'their', 'room', 'before', 'the', 'luggage', 'arrives', '.']","['PRP', 'VBZ', 'RB', 'JJ', 'IN', 'NNS', 'TO', 'VB', 'TO', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'VBZ', '.']",Pass,no,no,no,
600,"Although George does feel frustration, he will wait as suggested by the Captain.
","['Although', 'George', 'does', 'feel', 'frustration', ',', 'he', 'will', 'wait', 'as', 'suggested', 'by', 'the', 'Captain', '.']","['IN', 'NNP', 'VBZ', 'VB', 'NN', ',', 'PRP', 'MD', 'VB', 'IN', 'VBN', 'IN', 'DT', 'NNP', '.']",Removed,no,no,no,
601,"The Captain will be available for George if the luggage does not arrive shortly.
","['The', 'Captain', 'will', 'be', 'available', 'for', 'George', 'if', 'the', 'luggage', 'does', 'not', 'arrive', 'shortly', '.']","['DT', 'NNP', 'MD', 'VB', 'JJ', 'IN', 'NNP', 'IN', 'DT', 'NN', 'VBZ', 'RB', 'VB', 'RB', '.']",Pass,no,no,no,
602,"It looks as if there is a senior officer talking with a person of lower rank.
","['It', 'looks', 'as', 'if', 'there', 'is', 'a', 'senior', 'officer', 'talking', 'with', 'a', 'person', 'of', 'lower', 'rank', '.']","['PRP', 'VBZ', 'IN', 'IN', 'EX', 'VBZ', 'DT', 'JJ', 'NN', 'VBG', 'IN', 'DT', 'NN', 'IN', 'JJR', 'NN', '.']",Pass,no,no,no,
603,"There is a conversation going on and judging by the face of the senior officer, who has a smile, it is a friendly conversation.
","['There', 'is', 'a', 'conversation', 'going', 'on', 'and', 'judging', 'by', 'the', 'face', 'of', 'the', 'senior', 'officer', ',', 'who', 'has', 'a', 'smile', ',', 'it', 'is', 'a', 'friendly', 'conversation', '.']","['EX', 'VBZ', 'DT', 'NN', 'VBG', 'IN', 'CC', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'WP', 'VBZ', 'DT', 'NN', ',', 'PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",Pass,no,no,yes,
604,"They probably met in passing on the deck of a ship and perhaps where discussing something they had done the evening before.
","['They', 'probably', 'met', 'in', 'passing', 'on', 'the', 'deck', 'of', 'a', 'ship', 'and', 'perhaps', 'where', 'discussing', 'something', 'they', 'had', 'done', 'the', 'evening', 'before', '.']","['PRP', 'RB', 'VBD', 'IN', 'VBG', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'RB', 'WRB', 'VBG', 'NN', 'PRP', 'VBD', 'VBN', 'DT', 'NN', 'IN', '.']",Pass,no,no,no,
605,"They will probably both continue on their separate ways--getting down to the day's business.
","['They', 'will', 'probably', 'both', 'continue', 'on', 'their', 'separate', 'ways', '--', 'getting', 'down', 'to', 'the', 'day', ""'s"", 'business', '.']","['PRP', 'MD', 'RB', 'DT', 'VBP', 'IN', 'PRP$', 'JJ', 'NNS', ':', 'VBG', 'RB', 'TO', 'DT', 'NN', 'POS', 'NN', '.']",Pass,no,no,no,
606,"The captain of the ship is asking for a payoff for smuggling some items on his ship.
","['The', 'captain', 'of', 'the', 'ship', 'is', 'asking', 'for', 'a', 'payoff', 'for', 'smuggling', 'some', 'items', 'on', 'his', 'ship', '.']","['DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBG', 'IN', 'DT', 'NN', 'IN', 'VBG', 'DT', 'NNS', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
607,"The other man asked for the smuggling, and is now meeting with the captain to iron out details about how the items will be loaded off the ship.
","['The', 'other', 'man', 'asked', 'for', 'the', 'smuggling', ',', 'and', 'is', 'now', 'meeting', 'with', 'the', 'captain', 'to', 'iron', 'out', 'details', 'about', 'how', 'the', 'items', 'will', 'be', 'loaded', 'off', 'the', 'ship', '.']","['DT', 'JJ', 'NN', 'VBD', 'IN', 'DT', 'NN', ',', 'CC', 'VBZ', 'RB', 'VBG', 'IN', 'DT', 'NN', 'TO', 'VB', 'RP', 'NNS', 'IN', 'WRB', 'DT', 'NNS', 'MD', 'VB', 'VBN', 'RP', 'DT', 'NN', '.']",Pass,no,no,no,
608,"They have done this before, but the captain knows that the smuggler is slow in paying for the favor and the captain is demanding payment now.
","['They', 'have', 'done', 'this', 'before', ',', 'but', 'the', 'captain', 'knows', 'that', 'the', 'smuggler', 'is', 'slow', 'in', 'paying', 'for', 'the', 'favor', 'and', 'the', 'captain', 'is', 'demanding', 'payment', 'now', '.']","['PRP', 'VBP', 'VBN', 'DT', 'IN', ',', 'CC', 'DT', 'NN', 'VBZ', 'IN', 'DT', 'NN', 'VBZ', 'JJ', 'IN', 'VBG', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN', 'VBZ', 'VBG', 'NN', 'RB', '.']",Pass,yes,no,no,
609,"The man will pay him at the end of the meeting, or else no items will be released to the shore.
","['The', 'man', 'will', 'pay', 'him', 'at', 'the', 'end', 'of', 'the', 'meeting', ',', 'or', 'else', 'no', 'items', 'will', 'be', 'released', 'to', 'the', 'shore', '.']","['DT', 'NN', 'MD', 'VB', 'PRP', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'CC', 'RB', 'DT', 'NNS', 'MD', 'VB', 'VBN', 'TO', 'DT', 'NN', '.']",Pass,no,no,no,
610,"An engineer working on an important project is in his office.
","['An', 'engineer', 'working', 'on', 'an', 'important', 'project', 'is', 'in', 'his', 'office', '.']","['DT', 'NN', 'VBG', 'IN', 'DT', 'JJ', 'NN', 'VBZ', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
611,"He has  topped for a moment to look at the picture he has on his desk of his family.
","['He', 'has', 'topped', 'for', 'a', 'moment', 'to', 'look', 'at', 'the', 'picture', 'he', 'has', 'on', 'his', 'desk', 'of', 'his', 'family', '.']","['PRP', 'VBZ', 'VBN', 'IN', 'DT', 'NN', 'TO', 'VB', 'IN', 'DT', 'NN', 'PRP', 'VBZ', 'IN', 'PRP$', 'NN', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
612,"He realizes that he has not been able to spend the time he would like to with them.
","['He', 'realizes', 'that', 'he', 'has', 'not', 'been', 'able', 'to', 'spend', 'the', 'time', 'he', 'would', 'like', 'to', 'with', 'them', '.']","['PRP', 'VBZ', 'IN', 'PRP', 'VBZ', 'RB', 'VBN', 'JJ', 'TO', 'VB', 'DT', 'NN', 'PRP', 'MD', 'VB', 'TO', 'IN', 'PRP', '.']",Pass,no,no,yes,
613,"His work has taken up too much of his life and he would like to change that.
","['His', 'work', 'has', 'taken', 'up', 'too', 'much', 'of', 'his', 'life', 'and', 'he', 'would', 'like', 'to', 'change', 'that', '.']","['PRP$', 'NN', 'VBZ', 'VBN', 'RP', 'RB', 'JJ', 'IN', 'PRP$', 'NN', 'CC', 'PRP', 'MD', 'VB', 'TO', 'VB', 'DT', '.']",Pass,no,no,no,
614,"He resolves to reassess his priorities and put his family in a higher spot.
","['He', 'resolves', 'to', 'reassess', 'his', 'priorities', 'and', 'put', 'his', 'family', 'in', 'a', 'higher', 'spot', '.']","['PRP', 'VBZ', 'TO', 'VB', 'PRP$', 'NNS', 'CC', 'VB', 'PRP$', 'NN', 'IN', 'DT', 'JJR', 'NN', '.']",Removed,no,no,yes,
615,"This is a designer working on a concept called Stepford Wives.
","['This', 'is', 'a', 'designer', 'working', 'on', 'a', 'concept', 'called', 'Stepford', 'Wives', '.']","['DT', 'VBZ', 'DT', 'NN', 'VBG', 'IN', 'DT', 'NN', 'VBN', 'NNP', 'NNP', '.']",Pass,no,no,no,
616,"He is wondering if he should start with a modular frame that could produce an entire nuclear family or perhaps just one unit at a time.
","['He', 'is', 'wondering', 'if', 'he', 'should', 'start', 'with', 'a', 'modular', 'frame', 'that', 'could', 'produce', 'an', 'entire', 'nuclear', 'family', 'or', 'perhaps', 'just', 'one', 'unit', 'at', 'a', 'time', '.']","['PRP', 'VBZ', 'VBG', 'IN', 'PRP', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NN', 'WDT', 'MD', 'VB', 'DT', 'JJ', 'JJ', 'NN', 'CC', 'RB', 'RB', 'CD', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
617,"His doubt concerns an earlier career choice about working for Kenner products designing toys.
","['His', 'doubt', 'concerns', 'an', 'earlier', 'career', 'choice', 'about', 'working', 'for', 'Kenner', 'products', 'designing', 'toys', '.']","['PRP$', 'NN', 'NNS', 'DT', 'JJR', 'NN', 'NN', 'IN', 'VBG', 'IN', 'NNP', 'NNS', 'VBG', 'NNS', '.']",Removed,no,no,no,
618,"In that capacity one of his models was elected President of the United States.
","['In', 'that', 'capacity', 'one', 'of', 'his', 'models', 'was', 'elected', 'President', 'of', 'the', 'United', 'States', '.']","['IN', 'DT', 'NN', 'CD', 'IN', 'PRP$', 'NNS', 'VBD', 'VBN', 'NNP', 'IN', 'DT', 'NNP', 'NNPS', '.']",Pass,no,no,no,
619,"Ultimately his Stepford model fails due to microwave exposure in the kitchen.
","['Ultimately', 'his', 'Stepford', 'model', 'fails', 'due', 'to', 'microwave', 'exposure', 'in', 'the', 'kitchen', '.']","['RB', 'PRP$', 'NNP', 'NN', 'NNS', 'JJ', 'TO', 'VB', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
620,"Lewis seems to always work late.
","['Lewis', 'seems', 'to', 'always', 'work', 'late', '.']","['NNP', 'VBZ', 'TO', 'RB', 'VB', 'RB', '.']",Removed,no,no,no,
621,"It seems he never has enough time to be with his family.
","['It', 'seems', 'he', 'never', 'has', 'enough', 'time', 'to', 'be', 'with', 'his', 'family', '.']","['PRP', 'VBZ', 'PRP', 'RB', 'VBZ', 'JJ', 'NN', 'TO', 'VB', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,yes,
622,"During these late hours his work quality suffers as his thoughts are with his family.
","['During', 'these', 'late', 'hours', 'his', 'work', 'quality', 'suffers', 'as', 'his', 'thoughts', 'are', 'with', 'his', 'family', '.']","['IN', 'DT', 'JJ', 'NNS', 'PRP$', 'NN', 'NN', 'NNS', 'IN', 'PRP$', 'NNS', 'VBP', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,yes,
623,"Lewis will soon go home, leaving his work unfinished, to be with his family.
","['Lewis', 'will', 'soon', 'go', 'home', ',', 'leaving', 'his', 'work', 'unfinished', ',', 'to', 'be', 'with', 'his', 'family', '.']","['NNP', 'MD', 'RB', 'VB', 'NN', ',', 'VBG', 'PRP$', 'NN', 'RB', ',', 'TO', 'VB', 'IN', 'PRP$', 'NN', '.']",Removed,no,no,yes,
624,"Tomorrow is another day.
","['Tomorrow', 'is', 'another', 'day', '.']","['NN', 'VBZ', 'DT', 'NN', '.']",Pass,no,no,no,
625,"This man is at work.
","['This', 'man', 'is', 'at', 'work', '.']","['DT', 'NN', 'VBZ', 'IN', 'NN', '.']",Pass,no,no,no,
626,"He looks as if he is looking at a picture of his family.
","['He', 'looks', 'as', 'if', 'he', 'is', 'looking', 'at', 'a', 'picture', 'of', 'his', 'family', '.']","['PRP', 'VBZ', 'IN', 'IN', 'PRP', 'VBZ', 'VBG', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
627,"He may be working on a project far from home and thinking of his family that he is missing.
","['He', 'may', 'be', 'working', 'on', 'a', 'project', 'far', 'from', 'home', 'and', 'thinking', 'of', 'his', 'family', 'that', 'he', 'is', 'missing', '.']","['PRP', 'MD', 'VB', 'VBG', 'IN', 'DT', 'NN', 'RB', 'IN', 'NN', 'CC', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'PRP', 'VBZ', 'VBG', '.']",Pass,no,no,yes,
628,"He may wish that he was back at home with them.
","['He', 'may', 'wish', 'that', 'he', 'was', 'back', 'at', 'home', 'with', 'them', '.']","['PRP', 'MD', 'VB', 'IN', 'PRP', 'VBD', 'RB', 'IN', 'NN', 'IN', 'PRP', '.']",Removed,no,no,yes,
629,"He'll remember some of the happy things that have occurred when they are together.
","['He', ""'ll"", 'remember', 'some', 'of', 'the', 'happy', 'things', 'that', 'have', 'occurred', 'when', 'they', 'are', 'together', '.']","['PRP', 'MD', 'VB', 'DT', 'IN', 'DT', 'JJ', 'NNS', 'WDT', 'VBP', 'VBN', 'WRB', 'PRP', 'VBP', 'RB', '.']",Pass,no,no,yes,
